SITE;Date_prelevement;Kovacs;Gluc;H2S;Lact.;Gaz;CITR.;Especes;MP2;Pi;AM;GEM;TE;CI;CRO
MAMA YEMO;22/07/2021;0;1;1;0;0;0;Salmonella enterica;24;6;5;13;5;5;5
MAMA YEMO;22/07/2021;0;1;1;0;1;1;Citrobacter freundi;27;8;7;13;8;16;18
MAMA YEMO;22/07/2021;;;;I;;;;;;;;;;
MAMA YEMO;22/07/2021;0;1;1;1;1;1;Citrobacter balereup bethesda;25;5;5;20;16;33;24
MAMA YEMO;22/07/2021;0;1;1;1;0;1;Providencia;;22;5;16;16;16;6
MAMA YEMO;22/07/2021;1;1;1;1;0;1;Proteus vulgaris;24;6;5;21;5;21;5
MAMA YEMO;22/07/2021;0;1;1;0;1;1;Salmonella sp;23;22;5;16;6;7;5
MAMA YEMO;22/07/2021;;;;I;;;;;;;;;;
MAMA YEMO;22/07/2021;0;1;1;0;1;1;Salmonella sp;28;5;5;9;5;14;12
MAMA YEMO;22/07/2021;;;;;;;;;;;;;;
MAMA YEMO;22/07/2021;;;;;;;;;5;23;6;16;5;10
MAMA YEMO;22/07/2021;0;1;1;1;0;1;Providencia;29;21;14;16;5;23;24
MAMA YEMO;22/07/2021;;;;;;;;;24;18;22;15;23;26
MAMA YEMO;22/07/2021;0;1;1;1;1;1;Citrobacter balereup bethesda;23;6;5;7;6;23;5
MAMA YEMO;22/07/2021;0;1;1;1;0;1;Providencia;24;5;8;5;5;26;5
KIMBONDO;25/07/2021;0;1;0;0;1;0;Klebsiella pneumoniae;5;17;5;29;5;9;29
KIMBONDO;25/07/2021;1;1;1;0;0;1;Providencia;29;14;5;22;8;24;15
KIMBONDO;25/07/2021;0;1;1;1;0;1;Providencia;5;;5;20;8;5;17
KIMBONDO;25/07/2021;0;1;1;1;1;1;Salmonella sp;5;;6;5;6;15;11
KIMBONDO;25/07/2021;1;1;0;0;1;1;Klebsiella oxytoca;5;;5;11;6;23;6
KIMBONDO;27/07/2021;1;1;1;1;1;1;Salmonella sp;12;;5;5;9;22;17
KIMBONDO;27/07/2021;0;1;0;0;1;1;Klebsiella pneumoniae;5;;5;21;7;8;5
KIMBONDO;27/07/2021;1;1;1;1;1;0;dwarsielle tarda;10;;6;24;8;22;12
KIMBONDO;27/07/2021;1;1;1;1;1;0;Dwarsielle tarda;27;;7;20;5;17;9
KIMBONDO;27/07/2021;1;1;0;1;0;1;Escherichia alcalescens-dispar;23;;9;13;8;18;11
KIMBONDO;27/07/2021;0;1;0;1;1;1;Levinea;12;5;;19;5;5;5
KIMBONDO;28/07/2021;0;1;0;0;1;0;Klebsiella pneumoniae;6;5;;5;5;23;5
KIMBONDO;28/07/2021;1;1;1;1;1;0;dwarsielle tarda;10;8;;6;5;20;7
KIMBONDO;28/07/2021;0;1;0;1;1;0;Salmonella paratyphi;12;18;;15;7;28;6
KIMBONDO;28/07/2021;;;;;;;;;;;;;;
KIMBONDO;28/07/2021;;;;;;;;;;;;;;
MASANGA MBILA;27/07/2021;1;1;1;0;1;0;Salmonella gallinarum pullorum;12;5;7;5;6;5;5
MASANGA MBILA;27/07/2021;1;1;1;0;1;0;salmonella gallinarum pullorum;11;6;5;5;9;32;5
MASANGA MBILA;28/07/2021;0;1;1;1;1;0;Salmonella typhi;24;5;6;5;13;31;11
MASANGA MBILA;28/07/2021;;;;;;;;;5;6;11;6;5;6
MASANGA MBILA;28/07/2021;0;1;0;1;1;0;Salmonella paratyphi;24;;7;15;15;31;29
